"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CarlaMSmith: Fun fact: #HIMSS17 using more telecom networking than January's #SuperBowl in Houston! https://t.co/U1PkeqN7wY",FALSE,0,NA,2017-02-19 01:03:20,FALSE,NA,"833119743745859584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brad_Justus",9,TRUE,FALSE,NA,NA
"2","RT @info_ladygaga: Todos os dados do #SuperBowl da lady Gaga - se lembra de mais alguma coisa? Compartilha aí com a gente <U+2665> #VideoLove #Lit…",FALSE,0,NA,2017-02-19 01:03:17,FALSE,NA,"833119732509319174",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azeddine_c",17,TRUE,FALSE,NA,NA
"3","RT @justinbieber: My #SuperBowl commercial w/ @TMobile. Let’s go!! Let me see those #UnlimitedMoves https://t.co/J3YYPkR9nw",FALSE,0,NA,2017-02-19 01:03:15,FALSE,NA,"833119722778529792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamLanceWiggins",64656,TRUE,FALSE,NA,NA
"4","RT @dinahjane97: Lowkey wishing I was at the #SuperBowl game! I'm happy that .@NormaniKordei is there living it up for the both of us!!! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",FALSE,0,NA,2017-02-19 01:01:41,FALSE,NA,"833119328870481924",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selehomie",8996,TRUE,FALSE,NA,NA
"5","RT @superbustybowl: #BigBoobs #HugeTits #SuperBowl #NFL #sports #Babes #espn #foxsports #MaddenBowl #RealTime #boobs #babes 
RETWEET https:…",FALSE,0,NA,2017-02-19 01:00:56,FALSE,NA,"833119141922009088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","contentbroadb",1,TRUE,FALSE,NA,NA
"6","Denver Broncos Super Bowl 50 Champs Beyond Victory Navy Long... - https://t.co/kFnuuXfM9L #SB50 #NFL #SuperBowl https://t.co/hosU6PFEag",FALSE,0,NA,2017-02-19 01:00:44,FALSE,NA,"833119089111470081",NA,"<a href=""http://www.rssground.com/"" rel=""nofollow"">RSSGround</a>","RSSDealFeeds",0,FALSE,FALSE,NA,NA
"7","RT @gagadaily: .@LadyGaga's #SuperBowl Halftime show is officially the most watched musical event IN HISTORY! https://t.co/WQpWAFL7XW",FALSE,0,NA,2017-02-19 01:00:28,FALSE,NA,"833119025697812480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angledown_",805,TRUE,FALSE,NA,NA
"8","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 01:00:20,FALSE,NA,"833118991703035908",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ryrberge",8407,TRUE,FALSE,NA,NA
"9","RT @IGN: Dead Men Tell No Tales in this #SuperBowl trailer for the next #PiratesOfTheCaribbean film. https://t.co/9KdLIvxog9",FALSE,0,NA,2017-02-19 01:00:10,FALSE,NA,"833118948254179328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaelalexsan1",2511,TRUE,FALSE,NA,NA
"10","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 01:00:03,FALSE,NA,"833118919812665345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_mane04",8407,TRUE,FALSE,NA,NA
"11","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 01:00:03,FALSE,NA,"833118917082173442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nick_boz02",8407,TRUE,FALSE,NA,NA
"12","RT @CoachHinesCHS: Over 95% of Football players in the upcoming #Superbowl were multi sport athletes in High School!  

#LearnFromTheBest h…",FALSE,0,NA,2017-02-19 00:57:30,FALSE,NA,"833118277417189376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JTH_Vikings",619,TRUE,FALSE,NA,NA
"13","Hello @NFL are you listening? No more #SuperBowl ? @GovAbbott https://t.co/sxoJoxFFZB",FALSE,0,NA,2017-02-19 00:56:36,FALSE,NA,"833118052241797120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UdvTANBgkh9NQth",0,FALSE,FALSE,NA,NA
"14","RT @otramallorca: El descanso de la #SuperBowl siempre ha sido para los mejores. Recordemos a Prince y su lluvia purple. Bona nit!

https:/…",FALSE,0,NA,2017-02-19 00:56:17,FALSE,NA,"833117969647538176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maradriantv",1,TRUE,FALSE,NA,NA
"15","RT @lasillarota: Tenista paga apuesta de #SuperBowl y sale con fan https://t.co/oetmTpvpoN https://t.co/WGl9bubwKB",FALSE,0,NA,2017-02-19 00:55:32,FALSE,NA,"833117780639559680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uliarevalo",2,TRUE,FALSE,NA,NA
"16","RT @dinahjane97: Lowkey wishing I was at the #SuperBowl game! I'm happy that .@NormaniKordei is there living it up for the both of us!!! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",FALSE,0,NA,2017-02-19 00:55:29,FALSE,NA,"833117771261161473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pressurejbxz",8996,TRUE,FALSE,NA,NA
"17","RT @justinbieber: My #SuperBowl commercial w/ @TMobile. Let’s go!! Let me see those #UnlimitedMoves https://t.co/J3YYPkR9nw",FALSE,0,NA,2017-02-19 00:54:50,FALSE,NA,"833117604529238016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Cristina_emp",64656,TRUE,FALSE,NA,NA
"18","RT @PopCrush: Who should perform at next year's #SuperBowl halftime show? https://t.co/o0EyCjScDy https://t.co/rzdiFZOJqA",FALSE,0,NA,2017-02-19 00:54:29,FALSE,NA,"833117516411109376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DellaroccaGiusy",107,TRUE,FALSE,NA,NA
"19","RT @_HaveAGreatDay_: Why when we celebrate we destroy our bodies with things we don't need? #theworld #superbowl #celebrations #bodies",FALSE,0,NA,2017-02-19 00:54:23,FALSE,NA,"833117494802075649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SmQaqS290rvqrV6",4,TRUE,FALSE,NA,NA
"20","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 00:54:04,FALSE,NA,"833117414271381504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BernabeEdgar",8407,TRUE,FALSE,NA,NA
"21","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 00:53:59,FALSE,NA,"833117392112848897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Andrew_Schwab1",8407,TRUE,FALSE,NA,NA
"22","RT @MJJLegion: Michael Jackson performing ‘Heal The World’ at the #SuperBowl  Halftime Show, 1993. We need this message now more than ever.…",FALSE,0,NA,2017-02-19 00:53:53,FALSE,NA,"833117365084753920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","breezysfave_",1356,TRUE,FALSE,NA,NA
"23","RT @justinbieber: My #SuperBowl commercial w/ @TMobile. Let’s go!! Let me see those #UnlimitedMoves https://t.co/J3YYPkR9nw",FALSE,0,NA,2017-02-19 00:53:25,FALSE,NA,"833117250852880384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isabel_Tramos",64656,TRUE,FALSE,NA,NA
"24","RT @Spectrum3847: Preparing for #superbowl #omgrobots #GridIronChallenge Football Robots @FirstinTexas https://t.co/n9Cwv5sQhE",FALSE,0,NA,2017-02-19 00:53:12,FALSE,NA,"833117193680384004",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gretche50995360",1,TRUE,FALSE,NA,NA
"25","RT @lasillarota: Tenista paga apuesta de #SuperBowl y sale con fan https://t.co/oetmTpvpoN https://t.co/WGl9bubwKB",FALSE,0,NA,2017-02-19 00:53:10,FALSE,NA,"833117186877161472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alfloga",2,TRUE,FALSE,NA,NA
"26","RT @MatPatGT: Lady Gaga knocks her audition for Spiderman out of the park #SuperBowl https://t.co/10Gr4cJxiH",FALSE,0,NA,2017-02-19 00:52:54,FALSE,NA,"833117118501679104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kaijitzu1",1811,TRUE,FALSE,NA,NA
"27","Tenista paga apuesta de #SuperBowl y sale con fan https://t.co/oetmTpvpoN https://t.co/WGl9bubwKB",FALSE,0,NA,2017-02-19 00:52:51,FALSE,NA,"833117106245873665",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lasillarota",2,FALSE,FALSE,NA,NA
